I'll help you implement the necessary changes to add the `fill_value` parameter to `IterativeImputer`. Let's start by exploring the repository structure to understand how the code is organized.

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">find /testbed -type f -name "*.py" | grep -E "(impute|iterative)" | head -20</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>/testbed/sklearn/impute/__init__.py
/testbed/sklearn/impute/tests/__init__.py
/testbed/sklearn/impute/tests/test_knn.py
/testbed/sklearn/impute/tests/test_common.py
/testbed/sklearn/impute/tests/test_impute.py
/testbed/sklearn/impute/tests/test_base.py
/testbed/sklearn/impute/_knn.py
/testbed/sklearn/impute/_base.py
/testbed/sklearn/impute/_iterative.py
/testbed/sklearn/experimental/tests/test_enable_iterative_imputer.py
/testbed/sklearn/experimental/enable_iterative_imputer.py
/testbed/examples/impute/plot_iterative_imputer_variants_comparison.py
/testbed/examples/impute/plot_missing_values.py</function_results>

Great! Let's look at the structure of the impute module:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here're the files and directories up to 2 levels deep in /testbed/sklearn/impute, excluding hidden items and node_modules:
179K	/testbed/sklearn/impute
   674	        Parameters
   675	        ----------
   676	        X : array-like, shape (n_samples, n_features)
   677	            Input data, where `n_samples` is the number of samples and
   678	            `n_features` is the number of features.
   679	
   680	        y : Ignored
</function_results>

Now let's look at the `SimpleImputer` to understand how it handles the `fill_value` parameter:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_base.py</antml:parameter>
<antml:parameter name="view_range">[1, 100]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/impute/_base.py with line numbers (which has a total of 1072 lines) with view_range=[1, 100]:
     1	# Authors: Nicolas Tresegnie <nicolas.tresegnie@gmail.com>
     2	#          Sergey Feldman <sergeyfeldman@gmail.com>
     3	# License: BSD 3 clause
     4	
     5	import numbers
     6	import warnings
     7	from collections import Counter
     8	
     9	import numpy as np
    10	import numpy.ma as ma
    11	from scipy import sparse as sp
    12	
    13	from ..base import BaseEstimator, TransformerMixin
    14	from ..utils._param_validation import StrOptions, Hidden
    15	from ..utils.fixes import _mode
    16	from ..utils.sparsefuncs import _get_median
    17	from ..utils.validation import check_is_fitted
    18	from ..utils.validation import FLOAT_DTYPES
    19	from ..utils.validation import _check_feature_names_in
    20	from ..utils._mask import _get_mask
    21	from ..utils import _is_pandas_na
    22	from ..utils import is_scalar_nan
    23	
    24	
    25	def _check_inputs_dtype(X, missing_values):
    26	    if _is_pandas_na(missing_values):
    27	        # Allow using `pd.NA` as missing values to impute numerical arrays.
    28	        return
    29	    if X.dtype.kind in ("f", "i", "u") and not isinstance(missing_values, numbers.Real):
    30	        raise ValueError(
    31	            "'X' and 'missing_values' types are expected to be"
    32	            " both numerical. Got X.dtype={} and "
    33	            " type(missing_values)={}.".format(X.dtype, type(missing_values))
    34	        )
    35	
    36	
    37	def _most_frequent(array, extra_value, n_repeat):
    38	    """Compute the most frequent value in a 1d array extended with
    39	    [extra_value] * n_repeat, where extra_value is assumed to be not part
    40	    of the array."""
    41	    # Compute the most frequent value in array only
    42	    if array.size > 0:
    43	        if array.dtype == object:
    44	            # scipy.stats.mode is slow with object dtype array.
    45	            # Python Counter is more efficient
    46	            counter = Counter(array)
    47	            most_frequent_count = counter.most_common(1)[0][1]
    48	            # tie breaking similarly to scipy.stats.mode
    49	            most_frequent_value = min(
    50	                value
    51	                for value, count in counter.items()
    52	                if count == most_frequent_count
    53	            )
    54	        else:
    55	            mode = _mode(array)
    56	            most_frequent_value = mode[0][0]
    57	            most_frequent_count = mode[1][0]
    58	    else:
    59	        most_frequent_value = 0
    60	        most_frequent_count = 0
    61	
    62	    # Compare to array + [extra_value] * n_repeat
    63	    if most_frequent_count == 0 and n_repeat == 0:
    64	        return np.nan
    65	    elif most_frequent_count < n_repeat:
    66	        return extra_value
    67	    elif most_frequent_count > n_repeat:
    68	        return most_frequent_value
    69	    elif most_frequent_count == n_repeat:
    70	        # tie breaking similarly to scipy.stats.mode
    71	        return min(most_frequent_value, extra_value)
    72	
    73	
    74	class _BaseImputer(TransformerMixin, BaseEstimator):
    75	    """Base class for all imputers.
    76	
    77	    It adds automatically support for `add_indicator`.
    78	    """
    79	
    80	    _parameter_constraints: dict = {
    81	        "missing_values": ["missing_values"],
    82	        "add_indicator": ["boolean"],
    83	        "keep_empty_features": ["boolean"],
    84	    }
    85	
    86	    def __init__(
    87	        self, *, missing_values=np.nan, add_indicator=False, keep_empty_features=False
    88	    ):
    89	        self.missing_values = missing_values
    90	        self.add_indicator = add_indicator
    91	        self.keep_empty_features = keep_empty_features
    92	
    93	    def _fit_indicator(self, X):
    94	        """Fit a MissingIndicator."""
    95	        if self.add_indicator:
    96	            self.indicator_ = MissingIndicator(
    97	                missing_values=self.missing_values, error_on_new=False
    98	            )
    99	            self.indicator_._fit(X, precomputed=True)
   100	        else:
</function_results>

Let's find the SimpleImputer class:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -n "class SimpleImputer" /testbed/sklearn/impute/_base.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>142:class SimpleImputer(_BaseImputer):</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_base.py</antml:parameter>
<antml:parameter name="view_range">[142, 250]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/impute/_base.py with line numbers (which has a total of 1072 lines) with view_range=[142, 250]:
   142	class SimpleImputer(_BaseImputer):
   143	    """Univariate imputer for completing missing values with simple strategies.
   144	
   145	    Replace missing values using a descriptive statistic (e.g. mean, median, or
   146	    most frequent) along each column, or using a constant value.
   147	
   148	    Read more in the :ref:`User Guide <impute>`.
   149	
   150	    .. versionadded:: 0.20
   151	       `SimpleImputer` replaces the previous `sklearn.preprocessing.Imputer`
   152	       estimator which is now removed.
   153	
   154	    Parameters
   155	    ----------
   156	    missing_values : int, float, str, np.nan, None or pandas.NA, default=np.nan
   157	        The placeholder for the missing values. All occurrences of
   158	        `missing_values` will be imputed. For pandas' dataframes with
   159	        nullable integer dtypes with missing values, `missing_values`
   160	        can be set to either `np.nan` or `pd.NA`.
   161	
   162	    strategy : str, default='mean'
   163	        The imputation strategy.
   164	
   165	        - If "mean", then replace missing values using the mean along
   166	          each column. Can only be used with numeric data.
   167	        - If "median", then replace missing values using the median along
   168	          each column. Can only be used with numeric data.
   169	        - If "most_frequent", then replace missing using the most frequent
   170	          value along each column. Can be used with strings or numeric data.
   171	          If there is more than one such value, only the smallest is returned.
   172	        - If "constant", then replace missing values with fill_value. Can be
   173	          used with strings or numeric data.
   174	
   175	        .. versionadded:: 0.20
   176	           strategy="constant" for fixed value imputation.
   177	
   178	    fill_value : str or numerical value, default=None
   179	        When strategy == "constant", `fill_value` is used to replace all
   180	        occurrences of missing_values. For string or object data types,
   181	        `fill_value` must be a string.
   182	        If `None`, `fill_value` will be 0 when imputing numerical
   183	        data and "missing_value" for strings or object data types.
   184	
   185	    verbose : int, default=0
   186	        Controls the verbosity of the imputer.
   187	
   188	        .. deprecated:: 1.1
   189	           The 'verbose' parameter was deprecated in version 1.1 and will be
   190	           removed in 1.3. A warning will always be raised upon the removal of
   191	           empty columns in the future version.
   192	
   193	    copy : bool, default=True
   194	        If True, a copy of X will be created. If False, imputation will
   195	        be done in-place whenever possible. Note that, in the following cases,
   196	        a new copy will always be made, even if `copy=False`:
   197	
   198	        - If `X` is not an array of floating values;
   199	        - If `X` is encoded as a CSR matrix;
   200	        - If `add_indicator=True`.
   201	
   202	    add_indicator : bool, default=False
   203	        If True, a :class:`MissingIndicator` transform will stack onto output
   204	        of the imputer's transform. This allows a predictive estimator
   205	        to account for missingness despite imputation. If a feature has no
   206	        missing values at fit/train time, the feature won't appear on
   207	        the missing indicator even if there are missing values at
   208	        transform/test time.
   209	
   210	    keep_empty_features : bool, default=False
   211	        If True, features that consist exclusively of missing values when
   212	        `fit` is called are returned in results when `transform` is called.
   213	        The imputed value is always `0` except when `strategy="constant"`
   214	        in which case `fill_value` will be used instead.
   215	
   216	        .. versionadded:: 1.2
   217	
   218	    Attributes
   219	    ----------
   220	    statistics_ : array of shape (n_features,)
   221	        The imputation fill value for each feature.
   222	        Computing statistics can result in `np.nan` values.
   223	        During :meth:`transform`, features corresponding to `np.nan`
   224	        statistics will be discarded.
   225	
   226	    indicator_ : :class:`~sklearn.impute.MissingIndicator`
   227	        Indicator used to add binary indicators for missing values.
   228	        `None` if `add_indicator=False`.
   229	
   230	    n_features_in_ : int
   231	        Number of features seen during :term:`fit`.
   232	
   233	        .. versionadded:: 0.24
   234	
   235	    feature_names_in_ : ndarray of shape (`n_features_in_`,)
   236	        Names of features seen during :term:`fit`. Defined only when `X`
   237	        has feature names that are all strings.
   238	
   239	        .. versionadded:: 1.0
   240	
   241	    See Also
   242	    --------
   243	    IterativeImputer : Multivariate imputer that estimates values to impute for
   244	        each feature with missing values from all the others.
   245	    KNNImputer : Multivariate imputer that estimates missing features using
   246	        nearest samples.
   247	
   248	    Notes
   249	    -----
   250	    Columns which only contained missing values at :meth:`fit` are discarded
</function_results>

Let's see the `__init__` method of `SimpleImputer`:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -n "def __init__" /testbed/sklearn/impute/_base.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>86:    def __init__(
280:    def __init__(
808:    def __init__(</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">view</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_base.py</antml:parameter>
<antml:parameter name="view_range">[280, 320]</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Here's the content of /testbed/sklearn/impute/_base.py with line numbers (which has a total of 1072 lines) with view_range=[280, 320]:
   280	    def __init__(
   281	        self,
   282	        *,
   283	        missing_values=np.nan,
   284	        strategy="mean",
   285	        fill_value=None,
   286	        verbose="deprecated",
   287	        copy=True,
   288	        add_indicator=False,
   289	        keep_empty_features=False,
   290	    ):
   291	        super().__init__(
   292	            missing_values=missing_values,
   293	            add_indicator=add_indicator,
   294	            keep_empty_features=keep_empty_features,
   295	        )
   296	        self.strategy = strategy
   297	        self.fill_value = fill_value
   298	        self.verbose = verbose
   299	        self.copy = copy
   300	
   301	    def _validate_input(self, X, in_fit):
   302	
   303	        if self.strategy in ("most_frequent", "constant"):
   304	            # If input is a list of strings, dtype = object.
   305	            # Otherwise ValueError is raised in SimpleImputer
   306	            # with strategy='most_frequent' or 'constant'
   307	            # because the list is converted to Unicode numpy array
   308	            if isinstance(X, list) and any(
   309	                isinstance(elem, str) for row in X for elem in row
   310	            ):
   311	                dtype = object
   312	            else:
   313	                dtype = None
   314	        else:
   315	            dtype = FLOAT_DTYPES
   316	
   317	        if not in_fit and self._fit_dtype.kind == "O":
   318	            # Use object dtype if fitted on object dtypes
   319	            dtype = self._fit_dtype
   320	
</function_results>

Now let's look at the parameter constraints for SimpleImputer:

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">grep -A 10 "_parameter_constraints" /testbed/sklearn/impute/_base.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>    _parameter_constraints: dict = {
        "missing_values": ["missing_values"],
        "add_indicator": ["boolean"],
        "keep_empty_features": ["boolean"],
    }

    def __init__(
        self, *, missing_values=np.nan, add_indicator=False, keep_empty_features=False
    ):
        self.missing_values = missing_values
        self.add_indicator = add_indicator
--
    _parameter_constraints: dict = {
        **_BaseImputer._parameter_constraints,
        "strategy": [StrOptions({"mean", "median", "most_frequent", "constant"})],
        "fill_value": "no_validation",  # any object is valid
        "verbose": ["verbose", Hidden(StrOptions({"deprecated"}))],
        "copy": ["boolean"],
    }

    def __init__(
        self,
        *,
        missing_values=np.nan,
--
    _parameter_constraints: dict = {
        "missing_values": [numbers.Real, numbers.Integral, str, None],
        "features": [StrOptions({"missing-only", "all"})],
        "sparse": ["boolean", StrOptions({"auto"})],
        "error_on_new": ["boolean"],
    }

    def __init__(
        self,
        *,
        missing_values=np.nan,</function_results>

Perfect! Now I understand the structure. Let's create a test to reproduce the issue first:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_fill_value_reproduction.py</antml:parameter>
<antml:parameter name="file_text">"""Test script to reproduce the missing fill_value parameter issue."""

import numpy as np
from sklearn.experimental import enable_iterative_imputer
from sklearn.impute import IterativeImputer, SimpleImputer

# Test that SimpleImputer has fill_value parameter and works correctly
print("Testing SimpleImputer with fill_value...")
simple_imputer = SimpleImputer(strategy="constant", fill_value=42)
X = np.array([[1, 2], [np.nan, 3], [7, 6]])
X_imputed = simple_imputer.fit_transform(X)
print(f"SimpleImputer result: {X_imputed}")
print(f"Expected: [[1, 2], [42, 3], [7, 6]]")
print()

# Test that IterativeImputer doesn't have fill_value parameter
print("Testing IterativeImputer with initial_strategy='constant'...")
try:
    # This should fail because fill_value is not a parameter
    iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value=42)
    print("ERROR: IterativeImputer accepted fill_value parameter (it shouldn't yet)")
except TypeError as e:
    print(f"Expected error: {e}")
    print()

# Test current behavior without fill_value
print("Testing IterativeImputer current behavior...")
iterative_imputer = IterativeImputer(initial_strategy="constant", random_state=42)
X_imputed = iterative_imputer.fit_transform(X)
print(f"IterativeImputer result: {X_imputed}")
print("Note: This uses default fill_value (0 for numeric data)")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_fill_value_reproduction.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_fill_value_reproduction.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Testing SimpleImputer with fill_value...
SimpleImputer result: [[ 1.  2.]
 [42.  3.]
 [ 7.  6.]]
Expected: [[1, 2], [42, 3], [7, 6]]

Testing IterativeImputer with initial_strategy='constant'...
Expected error: __init__() got an unexpected keyword argument 'fill_value'

Testing IterativeImputer current behavior...
IterativeImputer result: [[1.         2.        ]
 [2.50000017 3.        ]
 [7.         6.        ]]
Note: This uses default fill_value (0 for numeric data)</function_results>

Great! The test confirms the issue. Now let's implement the solution. We need to:

1. Add `fill_value` parameter to `IterativeImputer.__init__`
2. Add `fill_value` to the parameter constraints
3. Pass `fill_value` to the `SimpleImputer` in `_initial_imputation`
4. Update the docstring to document the new parameter

Let's start:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="old_str">    initial_strategy : {'mean', 'median', 'most_frequent', 'constant'}, \
            default='mean'
        Which strategy to use to initialize the missing values. Same as the
        `strategy` parameter in :class:`~sklearn.impute.SimpleImputer`.</antml:parameter>
<antml:parameter name="new_str">    initial_strategy : {'mean', 'median', 'most_frequent', 'constant'}, \
            default='mean'
        Which strategy to use to initialize the missing values. Same as the
        `strategy` parameter in :class:`~sklearn.impute.SimpleImputer`.

    fill_value : str or numerical value, default=None
        When `initial_strategy="constant"`, `fill_value` is used to replace all
        occurrences of missing_values. For string or object data types,
        `fill_value` must be a string.
        If `None`, `fill_value` will be 0 when imputing numerical
        data and "missing_value" for strings or object data types.
        Same as the `fill_value` parameter in :class:`~sklearn.impute.SimpleImputer`.</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/sklearn/impute/_iterative.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="old_str">        If True, features that consist exclusively of missing values when
        `fit` is called are returned in results when `transform` is called.
        The imputed value is always `0` except when
        `initial_strategy="constant"` in which case `fill_value` will be
        used instead.</antml:parameter>
<antml:parameter name="new_str">        If True, features that consist exclusively of missing values when
        `fit` is called are returned in results when `transform` is called.
        The imputed value is always `0` except when
        `initial_strategy="constant"` in which case `fill_value` will be
        used instead.</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<error>The provided old_str and new_str are identical. No edit will be performed to /testbed/sklearn/impute/_iterative.py.</error>
</function_results>

Good, that part of the docstring already mentions `fill_value`. Now let's add the parameter to the constraints:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="old_str">    _parameter_constraints: dict = {
        **_BaseImputer._parameter_constraints,
        "estimator": [None, HasMethods(["fit", "predict"])],
        "sample_posterior": ["boolean"],
        "max_iter": [Interval(Integral, 0, None, closed="left")],
        "tol": [Interval(Real, 0, None, closed="left")],
        "n_nearest_features": [None, Interval(Integral, 1, None, closed="left")],
        "initial_strategy": [
            StrOptions({"mean", "median", "most_frequent", "constant"})
        ],
        "imputation_order": [
            StrOptions({"ascending", "descending", "roman", "arabic", "random"})
        ],
        "skip_complete": ["boolean"],
        "min_value": [None, Interval(Real, None, None, closed="both"), "array-like"],
        "max_value": [None, Interval(Real, None, None, closed="both"), "array-like"],
        "verbose": ["verbose"],
        "random_state": ["random_state"],
    }</antml:parameter>
<antml:parameter name="new_str">    _parameter_constraints: dict = {
        **_BaseImputer._parameter_constraints,
        "estimator": [None, HasMethods(["fit", "predict"])],
        "sample_posterior": ["boolean"],
        "max_iter": [Interval(Integral, 0, None, closed="left")],
        "tol": [Interval(Real, 0, None, closed="left")],
        "n_nearest_features": [None, Interval(Integral, 1, None, closed="left")],
        "initial_strategy": [
            StrOptions({"mean", "median", "most_frequent", "constant"})
        ],
        "fill_value": "no_validation",  # any object is valid
        "imputation_order": [
            StrOptions({"ascending", "descending", "roman", "arabic", "random"})
        ],
        "skip_complete": ["boolean"],
        "min_value": [None, Interval(Real, None, None, closed="both"), "array-like"],
        "max_value": [None, Interval(Real, None, None, closed="both"), "array-like"],
        "verbose": ["verbose"],
        "random_state": ["random_state"],
    }</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/sklearn/impute/_iterative.py has been edited successfully.</function_results>

Now let's add the parameter to the `__init__` method:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="old_str">    def __init__(
        self,
        estimator=None,
        *,
        missing_values=np.nan,
        sample_posterior=False,
        max_iter=10,
        tol=1e-3,
        n_nearest_features=None,
        initial_strategy="mean",
        imputation_order="ascending",
        skip_complete=False,
        min_value=-np.inf,
        max_value=np.inf,
        verbose=0,
        random_state=None,
        add_indicator=False,
        keep_empty_features=False,
    ):</antml:parameter>
<antml:parameter name="new_str">    def __init__(
        self,
        estimator=None,
        *,
        missing_values=np.nan,
        sample_posterior=False,
        max_iter=10,
        tol=1e-3,
        n_nearest_features=None,
        initial_strategy="mean",
        fill_value=None,
        imputation_order="ascending",
        skip_complete=False,
        min_value=-np.inf,
        max_value=np.inf,
        verbose=0,
        random_state=None,
        add_indicator=False,
        keep_empty_features=False,
    ):</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/sklearn/impute/_iterative.py has been edited successfully.</function_results>

Now let's add the assignment in the `__init__` method:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="old_str">        self.estimator = estimator
        self.sample_posterior = sample_posterior
        self.max_iter = max_iter
        self.tol = tol
        self.n_nearest_features = n_nearest_features
        self.initial_strategy = initial_strategy
        self.imputation_order = imputation_order
        self.skip_complete = skip_complete
        self.min_value = min_value
        self.max_value = max_value
        self.verbose = verbose
        self.random_state = random_state</antml:parameter>
<antml:parameter name="new_str">        self.estimator = estimator
        self.sample_posterior = sample_posterior
        self.max_iter = max_iter
        self.tol = tol
        self.n_nearest_features = n_nearest_features
        self.initial_strategy = initial_strategy
        self.fill_value = fill_value
        self.imputation_order = imputation_order
        self.skip_complete = skip_complete
        self.min_value = min_value
        self.max_value = max_value
        self.verbose = verbose
        self.random_state = random_state</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/sklearn/impute/_iterative.py has been edited successfully.</function_results>

Now let's modify the `_initial_imputation` method to pass the `fill_value` to `SimpleImputer`:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/sklearn/impute/_iterative.py</antml:parameter>
<antml:parameter name="old_str">        if self.initial_imputer_ is None:
            self.initial_imputer_ = SimpleImputer(
                missing_values=self.missing_values,
                strategy=self.initial_strategy,
                keep_empty_features=self.keep_empty_features,
            )
            X_filled = self.initial_imputer_.fit_transform(X)</antml:parameter>
<antml:parameter name="new_str">        if self.initial_imputer_ is None:
            self.initial_imputer_ = SimpleImputer(
                missing_values=self.missing_values,
                strategy=self.initial_strategy,
                fill_value=self.fill_value,
                keep_empty_features=self.keep_empty_features,
            )
            X_filled = self.initial_imputer_.fit_transform(X)</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/sklearn/impute/_iterative.py has been edited successfully.</function_results>

Now let's test our implementation:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">create</antml:parameter>
<antml:parameter name="path">/testbed/test_fill_value_implementation.py</antml:parameter>
<antml:parameter name="file_text">"""Test script to verify the fill_value parameter implementation."""

import numpy as np
from sklearn.experimental import enable_iterative_imputer
from sklearn.impute import IterativeImputer, SimpleImputer

# Test that IterativeImputer now accepts fill_value parameter
print("Testing IterativeImputer with fill_value parameter...")
try:
    iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value=42, random_state=42)
    print("SUCCESS: IterativeImputer now accepts fill_value parameter")
except TypeError as e:
    print(f"ERROR: {e}")

# Test the functionality
X = np.array([[1, 2], [np.nan, 3], [7, 6]])
print(f"Original data: {X}")

# Test with numeric fill_value
print("\nTesting with numeric fill_value=42...")
iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value=42, random_state=42)
X_imputed = iterative_imputer.fit_transform(X)
print(f"Result: {X_imputed}")
print(f"Initial imputation should use 42 for missing values")

# Test with np.nan as fill_value (for decision tree compatibility)
print("\nTesting with np.nan as fill_value...")
iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value=np.nan, random_state=42)
X_imputed = iterative_imputer.fit_transform(X)
print(f"Result: {X_imputed}")
print(f"Initial imputation should use np.nan for missing values")

# Test with default fill_value (None)
print("\nTesting with default fill_value=None...")
iterative_imputer = IterativeImputer(initial_strategy="constant", random_state=42)
X_imputed = iterative_imputer.fit_transform(X)
print(f"Result: {X_imputed}")
print(f"Should use default behavior (0 for numeric data)")

# Test with string data
print("\nTesting with string data and fill_value='missing'...")
X_str = np.array([['a', 'b'], [None, 'c'], ['d', 'e']], dtype=object)
print(f"Original string data: {X_str}")
iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value='missing', random_state=42)
X_str_imputed = iterative_imputer.fit_transform(X_str)
print(f"Result: {X_str_imputed}")

# Compare with SimpleImputer to ensure consistency
print("\nComparing initial imputation with SimpleImputer...")
simple_imputer = SimpleImputer(strategy="constant", fill_value=42)
X_simple = simple_imputer.fit_transform(X)
print(f"SimpleImputer result: {X_simple}")

# Check that the initial imputation matches
iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value=42, max_iter=0, random_state=42)
X_iter_initial = iterative_imputer.fit_transform(X)
print(f"IterativeImputer (max_iter=0) result: {X_iter_initial}")
print(f"Initial imputations match: {np.allclose(X_simple, X_iter_initial, equal_nan=True)}")
</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>New file created successfully at /testbed/test_fill_value_implementation.py</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_fill_value_implementation.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>
<output>Testing IterativeImputer with fill_value parameter...
SUCCESS: IterativeImputer now accepts fill_value parameter
Original data: [[ 1.  2.]
 [nan  3.]
 [ 7.  6.]]

Testing with numeric fill_value=42...
Result: [[1.         2.        ]
 [2.50000017 3.        ]
 [7.         6.        ]]
Initial imputation should use 42 for missing values

Testing with np.nan as fill_value...
Result: [[ 1.  2.]
 [nan  3.]
 [ 7.  6.]]
Initial imputation should use np.nan for missing values

Testing with default fill_value=None...
Result: [[1.         2.        ]
 [2.50000017 3.        ]
 [7.         6.        ]]
Should use default behavior (0 for numeric data)

Testing with string data and fill_value='missing'...
Original string data: [['a' 'b']
 [None 'c']
 ['d' 'e']]</output>
<error>Traceback (most recent call last):
  File "/testbed/test_fill_value_implementation.py", line 45, in <module>
    X_str_imputed = iterative_imputer.fit_transform(X_str)
  File "/testbed/sklearn/utils/_set_output.py", line 142, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
  File "/testbed/sklearn/impute/_iterative.py", line 716, in fit_transform
    X, Xt, mask_missing_values, complete_mask = self._initial_imputation(
  File "/testbed/sklearn/impute/_iterative.py", line 612, in _initial_imputation
    X = self._validate_data(
  File "/testbed/sklearn/base.py", line 543, in _validate_data
    X = check_array(X, input_name="X", **check_params)
  File "/testbed/sklearn/utils/validation.py", line 879, in check_array
    array = _asarray_with_order(array, order=order, dtype=dtype, xp=xp)
  File "/testbed/sklearn/utils/_array_api.py", line 185, in _asarray_with_order
    array = numpy.asarray(array, order=order, dtype=dtype)
ValueError: could not convert string to float: 'a'</error>
</function_results>

The string test failed because IterativeImputer requires numeric data. Let's fix our test and focus on the numeric cases:

<antml:function_calls>
<antml:invoke name="str_replace_based_edit_tool">
<antml:parameter name="command">str_replace</antml:parameter>
<antml:parameter name="path">/testbed/test_fill_value_implementation.py</antml:parameter>
<antml:parameter name="old_str"># Test with string data
print("\nTesting with string data and fill_value='missing'...")
X_str = np.array([['a', 'b'], [None, 'c'], ['d', 'e']], dtype=object)
print(f"Original string data: {X_str}")
iterative_imputer = IterativeImputer(initial_strategy="constant", fill_value='missing', random_state=42)
X_str_imputed = iterative_imputer.fit_transform(X_str)
print(f"Result: {X_str_imputed}")</antml:parameter>
<antml:parameter name="new_str"># Note: IterativeImputer only works with numeric data, so we skip string tests</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>The file /testbed/test_fill_value_implementation.py has been edited successfully.</function_results>

<antml:function_calls>
<antml:invoke name="bash">
<antml:parameter name="command">cd /testbed && python test_fill_value_implementation.py</antml:parameter>
</antml:invoke>
</antml:function_calls>
<function_results>Testing IterativeImputer with fill_value parameter...
SUCCESS: IterativeImputer now accepts fill_value parameter
Original data: [[ 1.  2.]
 [nan  3.]
 [ 7.  6.]]

Testing with numeric fill_value=42...
Result: [[1.         2.        ]
 [2.50000017 3.        ]
 [7.         6.        ]]
Initial imputation should use 42 for missing values

Testing with np.nan as fill_value...
Result: [[ 1.  2.]
 [nan  3.]
 [ 7.  6.]]
Initial imputation should use np.nan for missing values

Testing with default fill_value=None...
